Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Food & Beverages,Inflight Entertainment,Distance,Is_stop,Seat Type,Type Of Traveller,Flight Length,Recommended
4.0,5.0,,5.0,3.0,3.0,,0,Economy Class,,,1.0
4.0,4.0,,,4.0,4.0,,0,Economy Class,,,
3.0,3.0,,4.0,4.0,1.0,,0,Business Class,,,1.0
2.0,5.0,,,4.0,4.0,,0,Business Class,,,
4.0,4.0,,,1.0,4.0,,0,Economy Class,,,
4.0,5.0,,,4.0,2.0,,0,Economy Class,,,
,,,4.0,,,,0,Economy Class,,,1.0
,,,4.0,,,,0,Economy Class,,,1.0
,,,1.0,,,,0,Economy Class,,,1.0
,,,4.0,,,,0,Economy Class,,,1.0
,,,1.0,,,,0,Economy Class,,,0.0
,,,4.0,,,,0,Economy Class,,,1.0
,,,4.0,,,,0,Business Class,,,1.0
,,,4.0,,,,0,Business Class,,,1.0
,,,1.0,,,,0,Economy Class,,,1.0
,,,1.0,,,,0,Economy Class,,,0.0
,,,1.0,,,,0,Economy Class,,,0.0
,,,1.0,,,,0,Economy Class,,,1.0
,,,4.0,,,,0,Economy Class,,,1.0
,,,4.0,,,,0,Economy Class,,,1.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
,,,,,,,0,,,,0.0
2.0,3.0,1.0,2.0,2.0,,1535.1271329638073,0,Economy Class,Solo Leisure,Middle-Haul,0.0
4.0,5.0,5.0,5.0,5.0,3.0,2395.0466154319115,0,Economy Class,Solo Leisure,Middle-Haul,1.0
1.0,3.0,1.0,2.0,4.0,,1801.3096494529202,0,Economy Class,Solo Leisure,Middle-Haul,0.0
2.0,2.0,2.0,4.0,4.0,1.0,1803.3683602719495,0,Economy Class,Solo Leisure,Middle-Haul,1.0
4.0,5.0,5.0,5.0,5.0,3.0,1486.2672275873645,0,Economy Class,Family Leisure,Middle-Haul,1.0
4.0,5.0,5.0,5.0,5.0,,2858.5895290463845,0,Economy Class,Couple Leisure,Middle-Haul,1.0
3.0,3.0,1.0,2.0,,1.0,2773.778404076079,1,Economy Class,Business,Middle-Haul,0.0
5.0,2.0,5.0,1.0,1.0,,2395.0466154319115,0,Business Class,Solo Leisure,Middle-Haul,0.0
3.0,4.0,4.0,2.0,3.0,,949.2514148360628,0,Economy Class,Solo Leisure,Short-Haul,0.0
3.0,4.0,3.0,3.0,3.0,1.0,1201.2140378095446,0,Economy Class,Business,Middle-Haul,1.0
2.0,3.0,1.0,2.0,2.0,,1535.1271329638073,0,Economy Class,Solo Leisure,Middle-Haul,0.0
4.0,5.0,5.0,5.0,5.0,3.0,2395.0466154319115,0,Economy Class,Solo Leisure,Middle-Haul,1.0
1.0,3.0,1.0,2.0,4.0,,1801.3096494529202,0,Economy Class,Solo Leisure,Middle-Haul,0.0
2.0,2.0,2.0,4.0,4.0,1.0,1803.3683602719495,0,Economy Class,Solo Leisure,Middle-Haul,1.0
4.0,5.0,5.0,5.0,5.0,3.0,1486.2672275873645,0,Economy Class,Family Leisure,Middle-Haul,1.0
4.0,5.0,5.0,5.0,5.0,,2858.5895290463845,0,Economy Class,Couple Leisure,Middle-Haul,1.0
3.0,3.0,1.0,2.0,,1.0,2773.778404076079,1,Economy Class,Business,Middle-Haul,0.0
5.0,2.0,5.0,1.0,1.0,,2395.0466154319115,0,Business Class,Solo Leisure,Middle-Haul,0.0
3.0,4.0,4.0,2.0,3.0,,949.2514148360628,0,Economy Class,Solo Leisure,Short-Haul,0.0
3.0,4.0,3.0,3.0,3.0,1.0,1201.2140378095446,0,Economy Class,Business,Middle-Haul,1.0
