,Aircraft with seatmap,Seat Pitch,Seat Width,Seat Type,Video Type,Laptop Power,Power Type,Wi-Fi,Class,Company
0,Airbus A319 (319),30,18,Standard,None,None,None,No,Economy class,Aegean Airlines
1,Airbus A320 (320),30,18,Standard,Overhead TV,None,None,No,Economy class,Aegean Airlines
2,Airbus A321 (321),30,18,Standard,Overhead TV,None,None,No,Economy class,Aegean Airlines
3,ATR 42-600 (ATR),30,17,Standard,None,None,None,No,Economy class,Aegean Airlines
4,Bombardier Q400 (DH4),30,17,Standard,None,None,None,No,Economy class,Aegean Airlines
5,Airbus A330-200 (332) Layout 1,31-32,17,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
6,Airbus A330-200 (332) Layout 2,31-32,17,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
7,Airbus A330-300 (333),31-32,17,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
8,Airbus A330-200 (332) Layout 1,58,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Aer Lingus
9,Airbus A330-200 (332) Layout 2,58,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Aer Lingus
10,Airbus A330-300 (333),58,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Aer Lingus
11,Airbus A320 (320),31-32,17,Standard,None,None,None,No,Economy class,Aer Lingus
12,Airbus A321 (321),31-32,17,Standard,None,None,None,No,Economy class,Aer Lingus
13,Airbus A321LR (321),45,20,Flat Bed,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
14,Airbus A321LR (321),31-32,18,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aer Lingus
15,Boeing 757-200 (752),31,18,Standard,On-Demand TV,None,None,No,Economy class,Aer Lingus
16,Boeing 757-200 (752),60,22,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Aer Lingus
17,Airbus A330-200 (332),31,18.0,Standard,On-Demand TV,None,None,No,Economy class,Aeroflot Russian Airlines
18,Airbus A330-300 (333) Layout 1,30-32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aeroflot Russian Airlines
19,Airbus A330-300 (333) Layout 2,30-32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Aeroflot Russian Airlines
20,Boeing 777-300ER (773),30-32,18.0,Standard,On-Demand TV,None,None,No,Economy class,Aeroflot Russian Airlines
21,Boeing 777-300ER (773),38,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Aeroflot Russian Airlines
22,Airbus A330-200 (332),60.0,26.7,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
23,Airbus A330-300 (333) Layout 1,60.2,26.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
24,Airbus A330-300 (333) Layout 2,60.2,26.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
25,Boeing 777-300ER (773),57.0,22.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
26,Airbus A320 (320) Layout 1,30-32,18.0,Standard,None,None,None,No,Economy class,Aeroflot Russian Airlines
27,Airbus A320 (320) Layout 2,30-32,18.0,Standard,None,None,None,No,Economy class,Aeroflot Russian Airlines
28,Airbus A321 (321) Layout 1,30-32,18.0,Standard,None,None,None,No,Economy class,Aeroflot Russian Airlines
29,Airbus A321 (321) Layout 2,30-32,18.0,Standard,None,All Seats,AC Power,No,Economy class,Aeroflot Russian Airlines
30,Airbus A321 (321) Layout 3,30-32,18.0,Standard,Portable Device,None,None,No,Economy class,Aeroflot Russian Airlines
31,Boeing 737-800 (738),30-32,18.0,Standard,None,All Seats,AC Power,No,Economy class,Aeroflot Russian Airlines
32,Airbus A320 (320) Layout 1,38,21.0,Recliner,Portable Device,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
33,Airbus A320 (320) Layout 2,38,21.0,Recliner,Portable Device,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
34,Airbus A321 (321) Layout 1,38,21.0,Recliner,Portable Device,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
35,Airbus A321 (321) Layout 2,38,21.0,Recliner,Portable Device,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
36,Airbus A321 (321) Layout 3,38,21.0,Recliner,Portable Device,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
37,Boeing 737-800 (738),38,21.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Aeroflot Russian Airlines
38,Sukhoi Superjet 100-95B (SU9),30-32,18.3,Standard,None,None,None,No,Economy class,Aeroflot Russian Airlines
39,Sukhoi Superjet 100-95B (SU9),36,18.3,Recliner,Seatback TV,None,None,No,Business class,Aeroflot Russian Airlines
40,Airbus A330-200 (332),31,17,Standard,Seatback TV,None,None,No,Economy class,Aerolineas Argentinas
41,Airbus A340-300 (343),31,17,Standard,Overhead TV,None,None,No,Economy class,Aerolineas Argentinas
42,Airbus A330-200 (332),60,21,Angle Lie Flat,Seatback TV,None,None,No,Business class,Aerolineas Argentinas
43,Airbus A340-300 (343),60,21,Angle Lie Flat,Seatback TV,None,None,No,Business class,Aerolineas Argentinas
44,Boeing 737-700 (737),32,17,Standard,None,None,None,No,Economy class,Aerolineas Argentinas
45,Boeing 737-800 (738),32,17,Standard,None,None,None,No,Economy class,Aerolineas Argentinas
46,Boeing 737-700 (737),36,18,Recliner,None,None,None,No,Business class,Aerolineas Argentinas
47,Boeing 737-800 (738),36,18,Recliner,None,None,None,No,Business class,Aerolineas Argentinas
48,Boeing 787-8 (788),31-34,17.2,Standard,On-Demand TV,None,None,No,Economy class,AeroMexico
49,Boeing 787-9 (789),35-36,17.2,Standard,On-Demand TV,None,None,No,Economy class,AeroMexico
50,Boeing 787-9 (789),31,17.2,Standard,On-Demand TV,None,None,No,Economy class,AeroMexico
51,Boeing 787-8 (788),38,17.2,Standard,On-Demand TV,None,None,No,Premium Economy,AeroMexico
52,Boeing 787-8 (788),60,20.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,AeroMexico
53,Boeing 787-9 (789),60,20.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,AeroMexico
54,Boeing 737 MAX 8 (7M8),34,17.0,Standard,On-Demand TV,None,None,No,Economy class,AeroMexico
55,Boeing 737 MAX 8 (7M8),31,17.0,Standard,On-Demand TV,None,None,No,Economy class,AeroMexico
56,Boeing 737-700 (737),34,17.0,Standard,Overhead TV,None,None,No,Economy class,AeroMexico
57,Boeing 737-700 (737),31,17.0,Standard,Overhead TV,None,None,No,Economy class,AeroMexico
58,Boeing 737-800 (738) Layout 1,34,17.0,Standard,On-Demand TV,None,None,No,Economy class,AeroMexico
59,Boeing 737-800 (738) Layout 1,31,17.0,Standard,On-Demand TV,None,None,No,Economy class,AeroMexico
60,Boeing 737-800 (738) Layout 2,34,17.0,Standard,On-Demand TV,None,None,No,Economy class,AeroMexico
61,Boeing 737-800 (738) Layout 2,31,17.0,Standard,On-Demand TV,None,None,No,Economy class,AeroMexico
62,Embraer 170 (E70),31,17.3,Standard,None,None,None,No,Economy class,AeroMexico
63,Embraer 190 (E90) Layout 1,31,18.3,Standard,None,None,None,No,Economy class,AeroMexico
64,Embraer 190 (E90) Layout 2,31,18.3,Standard,None,None,None,No,Economy class,AeroMexico
65,Boeing 737 MAX 8 (7M8),38,21.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,AeroMexico
66,Boeing 737-700 (737),36,21.0,Recliner,Overhead TV,None,None,No,Business class,AeroMexico
67,Boeing 737-800 (738) Layout 1,39,21.0,Recliner,On-Demand TV,None,None,No,Business class,AeroMexico
68,Embraer 190 (E90) Layout 1,36,19.0,Recliner,None,None,None,No,Business class,AeroMexico
69,Airbus A320 (320),32,17.3,Standard,Overhead TV,None,None,No,Economy class,Air Arabia
70,Airbus A321 (321),32,17.3,Standard,Overhead TV,All Seats,AC Power,No,Economy class,Air Arabia
71,Boeing 767-300ER (76W),32,17,Standard,On-Demand TV,None,None,No,Economy class,Air Astana
72,Boeing 767-300ER (76W),45,21,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Astana
73,Airbus A320-200 (320),30-35,18,Standard,Overhead TV,None,None,No,Economy class,Air Astana
74,Airbus A320neo (320),30-35,18,Standard,Overhead TV,None,None,No,Economy class,Air Astana
75,Airbus A321-200 (321),32,18,Standard,None,None,None,No,Economy class,Air Astana
76,Airbus A321neo (A321),31-32,18,Standard,On-Demand TV,None,None,No,Economy class,Air Astana
77,Boeing 757-200 (752),31-32,17,Standard,On-Demand TV,None,None,No,Economy class,Air Astana
78,Embraer E-190 (E90) Layout 1,31,17,Standard,None,None,None,No,Economy class,Air Astana
79,Embraer E-190-E2 (E90) Layout 2,29-31,17,Standard,None,None,None,No,Economy class,Air Astana
80,Airbus A320-200 (320),37,21,Recliner,Portable Device,None,None,No,Business class,Air Astana
81,Airbus A320neo (320),37,21,Recliner,Portable Device,All Seats,AC Power,No,Business class,Air Astana
82,Airbus A321-200 (321),38,21,Recliner,Portable Device,None,None,No,Business class,Air Astana
83,Airbus A321neo (A321),37,21,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Astana
84,Boeing 757-200 (752),57,21,Angle Lie Flat,Portable Device,All Seats,AC Power,No,Business class,Air Astana
85,Embraer E-190 (E90) Layout 1,36,20,Recliner,None,None,None,No,Business class,Air Astana
86,Embraer E-190-E2 (E90) Layout 2,34,17,Standard,None,None,None,No,Business class,Air Astana
87,Boeing 777-300ER (77W),32,17.2,Standard,Seatback TV,None,None,No,Economy class,Air Austral
88,Boeing 787-8 (788),32-35,17.3,Standard,On-Demand TV,None,None,No,Economy class,Air Austral
89,Boeing 777-300ER (77W),38,19,Recliner,Seatback TV,All Seats,AC Power,No,Premium Economy,Air Austral
90,Boeing 777-300ER (77W),60,22,Flat Bed,Seatback TV,All Seats,AC Power,No,Business class,Air Austral
91,Boeing 787-8 (788),78,22,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Austral
92,Boeing 737-800 (738),31,16.9-17.3,Standard,Overhead TV,None,None,No,Economy class,Air Austral
93,Boeing 737-800 (738),40-42,20.4,Recliner,Overhead TV,None,None,No,Business class,Air Austral
94,ATR 72-500 (AT7),30,17,Standard,None,None,None,No,Economy class,Air Austral
95,Airbus A220-300 (CS3),32,18.5,Standard,None,None,None,No,Economy class,Air Baltic
96,Boeing 737-300 (733),32,17.0,Standard,None,None,None,No,Economy class,Air Baltic
97,Boeing 737-500 (735),32,17.0,Standard,None,None,None,No,Economy class,Air Baltic
98,Bombardier Q400 (DH4),32,17.0,Standard,None,None,None,No,Economy class,Air Baltic
99,Airbus A330-300 (333) Layout 1,31,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
100,Airbus A330-300 (333) Layout 2,32,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
101,Boeing 767-300ER (763),31-33,17.8,Standard,Portable Device,Some Seats,AC Power,No,Economy class,Air Canada
102,Boeing 777-200LR (77L) Three Class,31,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air Canada
103,Boeing 777-300ER (77W) Three Class Layout 1,31,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air Canada
104,Boeing 777-300ER (77W) Three Class Layout 2,31,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air Canada
105,Boeing 787-8 (788),31,17.3,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
106,Boeing 787-9 (789),30,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air Canada
107,rouge - Boeing 767-300ER (763),30,17.5,Standard,Portable Device,All Seats,AC Power,No,Economy class,Air Canada
108,rouge - Boeing 767-300ER (763),35,18.0,Standard,Portable Device,All Seats,AC Power,No,Economy class,Air Canada
109,Airbus A330-300 (333) Layout 1,38,18.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Canada
110,Airbus A330-300 (333) Layout 2,60,24.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Canada
111,Boeing 777-200LR (77L) Three Class,37,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Canada
112,Boeing 777-300ER (77W) Three Class Layout 1,37,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Canada
113,Boeing 777-300ER (77W) Three Class Layout 2,38,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Canada
114,Boeing 787-8 (788),38,19.5,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Canada
115,Boeing 787-9 (789),38,19.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Canada
116,Airbus A330-300 (333) Layout 1,70,20.0,Open Suite,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
117,Boeing 767-300ER (763),70,20.4,Open Suite,Portable Device,All Seats,AC Power,No,Business class,Air Canada
118,Boeing 777-200LR (77L) Three Class,70,21.0,Open Suite,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
119,Boeing 777-300ER (77W) Three Class Layout 1,75-78,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
120,Boeing 777-300ER (77W) Three Class Layout 2,75-78,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
121,Boeing 787-8 (788),80,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
122,Boeing 787-9 (789),80,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
123,rouge - Boeing 767-300ER (763),37,18.5,Recliner,Portable Device,All Seats,AC Power,No,Business class,Air Canada
124,Airbus A220-300 (CS3),30-32,19.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
125,Airbus A319-100 (319),31,17.8,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
126,Airbus A320-200 (320),31-33,17.8,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
127,Airbus A320-200 (320),35,17.8,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
128,Airbus A321-200 (321) Layout 1,31-32,17.8,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air Canada
129,Airbus A321-200 (321) Layout 2,31-32,17.8,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air Canada
130,Airbus A321-200 (321) Layout 3,31-33,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
131,Boeing 737 MAX 8 (7M8),30-34,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air Canada
132,Embraer E-175,31,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
133,Embraer E-190,31-33,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
134,Embraer E-190,35,18.0,Standard,On-Demand TV,Some Seats,AC Power,No,Economy class,Air Canada
135,rouge - Airbus A319-100 (319),29,18.0,Standard,Portable Device,None,None,No,Economy class,Air Canada
136,rouge - Airbus A319-100 (319),34,18.0,Standard,Portable Device,None,None,No,Economy class,Air Canada
137,rouge - Airbus A320-200 (320),29,18.0,Standard,On-Demand TV,None,None,No,Economy class,Air Canada
138,rouge - Airbus A321-200 (321),29,18.0,Standard,Portable Device,Some Seats,AC Power,No,Economy class,Air Canada
139,rouge - Airbus A321-200 (321),34,18.0,Standard,Portable Device,Some Seats,AC Power,No,Economy class,Air Canada
140,Airbus A220-300 (CS3),37,21.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
141,Airbus A319-100 (319),38-39,21.1,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
142,Airbus A320-200 (320),38,21.1,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
143,Airbus A321-200 (321) Layout 1,37-38,21.1,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
144,Airbus A321-200 (321) Layout 2,37-38,21.1,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
145,Airbus A321-200 (321) Layout 3,37-38,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
146,Boeing 737 MAX 8 (7M8),38,21.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
147,Embraer E-175,38-39,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
148,Embraer E-190,38,20.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
149,rouge - Airbus A319-100 (319),36,21.0,Standard,Portable Device,All Seats,AC Power,No,Business class,Air Canada
150,rouge - Airbus A320-200 (320),36,21.0,Recliner,On-Demand TV,All Seats,AC Power,No,Business class,Air Canada
151,rouge - Airbus A321-200 (321),37,21.0,Recliner,Portable Device,All Seats,AC Power,No,Business class,Air Canada
152,Bombardier CRJ-100/200,31,17.0,Standard,None,None,None,No,Economy class,Air Canada
153,Bombardier CRJ-705,34,17.0,Standard,On-Demand TV,None,None,No,Economy class,Air Canada
154,Bombardier CRJ-900,31,17.0,Standard,On-Demand TV,None,None,No,Economy class,Air Canada
155,Bombardier CRJ-705,37,21.0,Recliner,On-Demand TV,None,None,No,Business class,Air Canada
156,Bombardier CRJ-900,37,21.0,Recliner,On-Demand TV,None,None,No,Business class,Air Canada
157,Beechcraft 1900D,30,20.2,Standard,None,None,None,No,Economy class,Air Canada
158,Bombardier Q400,31,17.0,Standard,None,None,None,No,Economy class,Air Canada
159,de Havilland Dash 8 (100),31,17.0,Standard,None,None,None,No,Economy class,Air Canada
160,de Havilland Dash 8 (300),31,17.0,Standard,None,None,None,No,Economy class,Air Canada
161,Airbus A330-200 (332) Layout 1,31,16.5,Standard,On-Demand TV,None,None,No,Economy class,Air Caraibes
162,Airbus A330-200 (332) Layout 2,31,16.5,Standard,On-Demand TV,None,None,No,Economy class,Air Caraibes
163,Airbus A330-300 (333) Layout 1,31,16.5,Standard,On-Demand TV,None,None,No,Economy class,Air Caraibes
164,Airbus A330-300 (333) Layout 2,31,16.5,Standard,On-Demand TV,None,None,No,Economy class,Air Caraibes
165,Airbus A350-900 (359),31,16.5,Standard,On-Demand TV,None,None,No,Economy class,Air Caraibes
166,Airbus A330-200 (332) Layout 1,36,17.7,Standard,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Caraibes
167,Airbus A330-300 (333) Layout 1,36,17.7,Standard,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Caraibes
168,Airbus A330-300 (333) Layout 2,36,17.7,Standard,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Caraibes
169,Airbus A350-900 (359),35,17.7,Standard,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air Caraibes
170,Airbus A330-200 (332) Layout 1,61,18.5,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Caraibes
171,Airbus A330-300 (333) Layout 1,61,18.5,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Caraibes
172,Airbus A350-900 (359),61,18.8,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Caraibes
173,ATR 72-500 (ATR),29,17.0,Standard,None,None,None,No,Economy class,Air Caraibes
174,ATR 72-600 (ATR),29,17.0,Standard,None,None,None,No,Economy class,Air Caraibes
175,Airbus A330-200 (332) Layout 1,32,18.0,Standard,On-Demand TV,None,None,No,Economy class,Air China
176,Airbus A330-200 (332) Layout 2,32,17.7,Standard,On-Demand TV,None,None,No,Economy class,Air China
177,Airbus A330-300 (333),31-32,18.0,Standard,Overhead TV,Some Seats,AC Power,No,Economy class,Air China
178,Airbus A350-900 (359),32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air China
179,Boeing 747-400 (744),31-33,18.0,Standard,Overhead TV,None,None,No,Economy class,Air China
180,Boeing 747-8 (74H),31-33,18.0,Standard,None,None,None,No,Economy class,Air China
181,Boeing 777-200 (772),32-33,17.0,Standard,Overhead TV,None,None,No,Economy class,Air China
182,Boeing 777-300ER (77W),32,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air China
183,Boeing 787-9 (789),31-33,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air China
184,Airbus A330-300 (333),36-37,18.0,Standard,Seatback TV,All Seats,AC Power,No,Premium Economy,Air China
185,Airbus A350-900 (359),39,20,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air China
186,Boeing 747-8 (74H),36-38,18.3-19.3,Standard,None,None,None,No,Premium Economy,Air China
187,Boeing 777-200 (772),36-37,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air China
188,Boeing 787-9 (789),36-38,19.3,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air China
189,Airbus A330-200 (332) Layout 1,80,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air China
190,Airbus A330-200 (332) Layout 2,80,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air China
191,Airbus A330-300 (333),58,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air China
192,Airbus A350-900 (359),60,22.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air China
193,Boeing 747-400 (744),60,20.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Air China
194,Boeing 747-400 (744),60,20.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Air China
195,Boeing 747-8 (74H),60,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air China
196,Boeing 747-8 (74H),60,21.0,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Air China
197,Boeing 777-200 (772),60,21.5,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Air China
198,Boeing 777-300ER (77W),60,22.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air China
199,Boeing 787-9 (789),60,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air China
200,Boeing 747-400 (744),80,21.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,First class,Air China
201,Boeing 747-8 (74H),83,26.5,Open Suite,On-Demand TV,All Seats,AC Power,No,First class,Air China
202,Boeing 777-300ER (77W),80,23.0,Flat Bed,On-Demand TV,All Seats,AC Power,No,First class,Air China
203,Airbus A319 (319),30,17.7,Standard,Overhead TV,None,None,No,Economy class,Air China
204,Airbus A320 (320),30,18.0,Standard,Overhead TV,None,None,No,Economy class,Air China
205,Airbus A321 (321) Layout 1,31,17.7,Standard,Overhead TV,None,None,No,Economy class,Air China
206,Airbus A321 (321) Layout 2,31,17.0,Standard,Overhead TV,None,None,No,Economy class,Air China
207,Boeing 737-700 (737),30-31,18.0,Standard,Overhead TV,None,None,No,Economy class,Air China
208,Boeing 737-800 (738) Layout 1,31,18.0,Standard,Overhead TV,None,None,No,Economy class,Air China
209,Boeing 737-800 (738) Layout 2,31,18.0,Standard,Overhead TV,None,None,No,Economy class,Air China
210,Airbus A319 (319),41,21.0,Recliner,Overhead TV,None,None,No,Business class,Air China
211,Airbus A320 (320),36,21.0,Recliner,Overhead TV,None,None,No,Business class,Air China
212,Airbus A321 (321) Layout 1,38,21.0,Recliner,Overhead TV,None,None,No,Business class,Air China
213,Airbus A321 (321) Layout 2,38,21.0,Recliner,Overhead TV,None,None,No,Business class,Air China
214,Boeing 737-700 (737),38,21.0,Recliner,Overhead TV,None,None,No,Business class,Air China
215,Boeing 737-800 (738) Layout 1,40,21.0,Recliner,Overhead TV,None,None,No,Business class,Air China
216,Boeing 737-800 (738) Layout 2,38,21.0,Recliner,Overhead TV,None,None,No,Business class,Air China
217,Airbus A320-200 (320),31-34,18,Standard,None,None,None,No,Economy class,Air Corsica
218,ATR 72-500 (AT7),31-33,17,Standard,None,None,None,No,Economy class,Air Corsica
219,Embraer E-195 (E95),32-34,18,Standard,None,None,None,No,Economy class,Air Dolomiti
220,Embraer E-195 (E95),32-34,18,Standard,None,None,None,No,Business class,Air Dolomiti
221,Airbus A330-200 (332),31,17,Standard,On-Demand TV,None,None,No,Economy class,Air Europa
222,Boeing 787-8 (788),31,17,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air Europa
223,Boeing 787-9 (789),31,17,Standard,On-Demand TV,None,None,No,Economy class,Air Europa
224,Airbus A330-200 (332),51,20,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Air Europa
225,Boeing 787-8 (788),51,20,Flat Bed,On-Demand TV,All Seats,AC Power,No,Business class,Air Europa
226,Boeing 787-9 (789),51,20,Angle Lie Flat,On-Demand TV,All Seats,AC Power,No,Business class,Air Europa
227,Boeing 737-800 (738),31,17,Standard,Overhead TV,None,None,No,Economy class,Air Europa
228,Embraer 195 (E95),30,18,Standard,Overhead TV,None,None,No,Economy class,Air Europa
229,Boeing 737-800 (738),33,21,Recliner,Overhead TV,None,None,No,Business class,Air Europa
230,Embraer 195 (E95),30,18,Standard,Overhead TV,None,None,No,Business class,Air Europa
231,Airbus A330-200 (332) Layout 1,32,18.0,Standard,On-Demand TV,None,None,No,Economy class,Air France
232,Airbus A330-200 (332) Layout 2,31,18.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air France
233,Airbus A340-300 (343),32,18.0,Standard,On-Demand TV,None,None,No,Economy class,Air France
234,Airbus A350-900 (359),31,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air France
235,Airbus A350-900 (359),37,18.8,Recliner,On-Demand TV,All Seats,AC Power,No,Economy class,Air France
236,Airbus A380-800 (380),32,17.5,Standard,On-Demand TV,None,None,No,Economy class,Air France
237,Airbus A380-800 (380),32,17.5,Standard,On-Demand TV,None,None,No,Economy class,Air France
238,Boeing 777-200ER (772) Three Class Layout 1,32,17.0,Standard,On-Demand TV,None,None,No,Economy class,Air France
239,Boeing 777-200ER (772) Three Class Layout 2,32,17.0,Standard,On-Demand TV,None,None,No,Economy class,Air France
240,Boeing 777-200ER (772) Three Class Layout 3,32,17.0,Standard,On-Demand TV,None,None,No,Economy class,Air France
241,Boeing 777-200ER (772) Three Class Layout 4,32,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air France
242,Boeing 777-200ER (772) Three Class Layout 4,32,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air France
243,Boeing 777-300ER (77W) Caribbean,32,17.0,Standard,On-Demand TV,None,None,No,Economy class,Air France
244,Boeing 777-300ER (77W) Four Class Layout 1,32,17.0,Standard,On-Demand TV,None,None,No,Economy class,Air France
245,Boeing 777-300ER (77W) Four Class Layout 2,32,17.0,Standard,On-Demand TV,None,None,No,Economy class,Air France
246,Boeing 777-300ER (77W) Four Class Layout 2,33-34,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air France
247,Boeing 777-300ER (77W) Three Class,32,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air France
248,Boeing 787-9 (789),31,17.0,Standard,On-Demand TV,All Seats,AC Power,No,Economy class,Air France
249,Airbus A330-200 (332) Layout 1,38,19.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air France
250,Airbus A330-200 (332) Layout 2,40,19.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air France
251,Airbus A340-300 (343),38,19.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air France
252,Airbus A380-800 (380),38,19.0,Recliner,On-Demand TV,All Seats,AC Power,No,Premium Economy,Air France
